yeee,ye
tolooool,tolol
buueesssaaar,besar
kgk,tidak
mbaaak,mba
krlompok,kelompok
mewikili,mewakili
mon,mohon
mngkin,mungkin
njeng,anjingn
brg,barang
gublok,goblok
wkakaka,wkwk
idihh,idih
pngen,pengen
mksudnya,maksudnya
menghsrumkan,mengharumkan
ape,apa
minyak,ga mendidik
ajala,ajalah
trs,terus
kpd,kepada
sono,sana
dimn,dimana
amrik,amerika
gantipenguruskpai,ganti pengurus kpai
kamibersamakpai,kami bersama kpai
preeet,pret
kabare,kabari
kuranh,kurang
kemen,kementrian
jateng,jawa tengah
ana,saya
orgnya,orangnya
guobluook,goblok
bagamana,bagaimana
prtumbuhan,pertumbuhan
kbr,kabar
th,tahun
msyrakat,masyarakat
prh,parah
ngoahahaha,haha
cm,Cuma
ooh,oh
sblm,sebelum
pngn,pengen
slisih,selisih
hadeehh,hadeh
wakakaka,wkwk
tembak²,tembak
fikir,pikir
blm,belum
bsr,besar
sllu,selalu
ttg,tentang
napa,kenapa
hahahahhahahahahaha,haha
adegam,adegan
bkn,bukan
hahahahahahahahahaha,haha
mksd,maksud
hbs,habis
wanjirrrr,anjir
ksh,kasih
cb,coba
masyarakt,masyarakat
buad,buat
lach,lah
pegimane,pergi kemana
ckckckckck,ckck
kyknya,kayaknya
knpa,kenapa
hrsnya,harusnya
sampe,sampai
alayyyy,alay
ripkpk,rip kpk
horeee,hore
trnyata,ternyata
bacooooot,bacot
yaaa,ya
taeekkkkkk,tai
yutup,youtube
niih,nih
f,fuck
dripda,daripad
haddaaahhh,hadah
mengataka,mengatakan
mulaaaaaaan,mulan
byeeeee,bye
memamg,memang
njirr,anjir
tlp,telepon
mengadaka,mengadakan
lg,lagi
surveyny,surveynya
wakaka,wkwk
smw,semua
dng,dengan
skrng,sekarang
berpikircerdas,berpikir cerdas
a k,ahok
wkwkkwkwkkwkw,wkwk
jln,jalan
jls,jelas
assekk,asik
hbskan,habiskan
haaaancuuuuur,hancur
bukanny,bukannya
byar,bayar
wekekekekekekekekekekekekekekekek,wkwk
keapda,kepada
anak²,anak
mikiirrree,mikirnya
hahahahaha,haha
bwaa,bawa
adaaaaw,ada
dn,dan
bnyak,banyak
nntonya,nontonnya
hhhmmmmm,hmm
mpe,sampai
ngedkg,ngedukung
ntr,ntar
sy,saya
oooonnn,oon
jt,juta
bln,bulan
jt bln,juta bulan
ttp,tetap
kemrn,kemarin
hsl,hasil
skg,sekarang
daon,daun
ataugak,atau gak
bwt,buat
bru,baru
sperti,seperti
sihh,sih
peeeeaaaaa,pea
konsekwensi,konsekuensi
blg,bilang
ngemeng,ngomong
syng,sayang
preettt,pret
menyingkirkan,menyingkirkan
kerjany,kerjanya
mikiiirrrr,mikir
breeyyyy,brey
wowww,wow
huss,hus
gmana,gimana
teruuuus,terus
sebnernya,sebenarnya
yahhh,yah
ajja,aja
lgsg,langsung
nggaaak,nggak
tuuuh,tuh
sblmnya,sebelmnya
indinesia,indonesia
bhkan,bahkan
jawabb,jawab
yaaaaaa,ya
bkan,bukan
iniii,ini
bbrp,beberapa
dgn,dengan
jauhh,jauh
setujuuuuuuu,setuju
gt,gitu
thdp,terhadap
sudahlahhhh,sudahlah
dtk,detik
drmna,darimana
dijakarta,di jakarta
wkkk,wkwk
huahahahahaa,haha
slah,salah
dngn,dengan
eeh,eh
plg,paling
yt,youtube
ramaai,ramai
ckckck,ckck
jafi,jadi
sll,selalu
wakakkakaa,wkwk
olehraga,oleh raga
dpan,depan
bgmn,bagaimana
ehemmm,hmm
dmna,dimana
parahhh,parah
menghilangakn,menghilangkan
bkl,bakal
mudab,mudah
ngarti,ngerti
nggk,tidak
aaah,ah
nnti,nanti
kt,kata
astagaaaa,astaga
membleee,memble
nnt,nanti
palsuuuuuuuu,palsu
hehehe,hehe
pdhl,padahal
blunderrrr,blunder
yg,yang
pecatpenguruskpai,pecat pengurus kpai
orgsme,orgasme
wkwkwkwkwk,wkwk
hahahahahah,haha
harua,harus
lemaahhhhhhhhhhh,lemah
kamiiiiiiiing,kambing
b rak,berak
pnting,penting
skr,sekarang
msih,masih
mmbunuh,membunuh
jng,jangan
bnerr,bener
sna,sana
singapuraaaa,singapura
kmn,kemana
gimna,gimana
lgs,langsung
sprt,seperti
cmn,cuman
hahahahaahha,haha
begooooooo,bego
ksalahan,kesalahan
setidakxa,setidaknya
ky,kayak
ajee,aja
mkan,makan
kozonk,kosong
wkwkwk,wkwk
hhhhmmmm,hmm
bl n,bloon
mndekati,mendekati
tol l,tolol
jkw,jokowi
sndri,sendiri
sponsorshipp,sponsorship
bossssss,bos
sklian,sekalian
anakny,anaknya
nasibmoe,nasibmu
tolg,tolong
prettt,pret
mjd,menjadi
iyaaa,iya
gublokk,goblok
wkwkwkwkk,wkwk
lahh,lah
bulutqngkis,bulutangkis
sdhlah,sudahlah
juancoxxx,jancuk
mantapp,mantap
pnyadap,penyadap
drpda,daripada
lwt,lewat
jyg,juga
muiinnyakkkkk,minyak
kdg,kadang
lsg,langsung
o,oh
tuhh,tuh
dmn,dimana
qt,kita
ampe,sampai
prlu,perlu
kgiatan,kegiatan
setujuu,setuju
dibikinya,dibikinnya
brgkt,berangkat
kaliiiii,kali
mateen,manten
hadiiiirr,hadir
emgnya,emangnya
mksdnye,maksudnya
momentnya,momennya
jt,juta
lmayanlah,lumayanlah
wkkkk,wkwk
msuk,masuk
boss,bos
yv,yang
menhindari,menghindari
dl,dulu
dsb,dan sebagainya
thn,tahun
ntapssss,mantap
ehh,eh
indosata,indosat
mgkn,mungkin
tabiatny,tabiatnya
sekrg,sekarang
spt,seperti
bgmana,bagaimana
luaarrr,luar
becusss,becus
iyyaahh,iya
mass,mas
kpaiiiii,kpai
eeehhh,eh
wkwkwkwkwkwwkkkk,wkwk
sj,saja
cuk,jancuk
jangan²,jangan
mlhn,malahan
bgsd,bangsat
b brok,bobrok
wkwkwkwkw,wkwk
goooooaaaal,goal
kaleeee,kali
bhw,bahwa
bngt,banget
dunk,dong
mantaaaaaasab,mantap
dsini,disini
slanjutnya,selanjutnya
